Method ID,Method Name,Method Context 
3050B,"Acid Digestion of Sediments, Sludges, and Soils ",USEPA
O3117,Acid Extractable Compounds in Water,USDOI/USGS
9030A,Acid Soluble and Acid Insoluble Sulfides,USEPA
200.1(ICP),Acid Soluble Metals - ICP,USEPA
200.1(FLAA),Acid Soluble Metals in Water by FLAA,USEPA
200.1(GFAA),Acid Soluble Metals in Water by GFAA,USEPA
8010,Acidity by Titration,HACH
305.2,Acidity by Titration Using a pH Meter,USEPA
305.1,Acidity by Titration with a pH Meter,USEPA
8219,Acidity in Water,HACH
2310,Acidity in Water by Titration,APHA
I1020,Acidity in Water by Titration,USDOI/USGS
973.42,Acidity of Water,AOAC
D1067(A),Acidity or Alkalinity of Water,ASTM
D1067(B),Acidity or Alkalinity of Water,ASTM
D1067(C),Acidity or Alkalinity of Water,ASTM
7903,"Acids, inorganic",NIOSH
PMD-ACA,Acifluorfen by HPLC,USEPA
2501,Acrolein,NIOSH
626,Acrolein and Acrylonitrile by GC,USEPA
8030A,Acrolein and Acrylonitrile by GC,USEPA
603,Acrolein and Acrylonitrile in Wastewater,USEPA
8032,Acrylamide by Gas Chromatography,USEPA
8032A,Acrylamide by Gas Chromatography,USEPA
8316,"Acrylamide, Acetonitrile and Acrolein",USEPA
8031,Acrylonitrile by Gas Chromatography,USEPA
1604,Acrylonitrile by GC/FID,NIOSH
907,Actinides in Drinking Water,USEPA
9250-B,Actinomycete Plate Count,APHA
2000,ACUTE TOXICITY TESTS FOR WATERS USING FATHEAD MINNOWS,USEPA
2002,ACUTE TOXICITY TESTS WITH EFFLUENTS AND RECIEVING WATERS USING CERIODAPHNIA DUBIA,USEPA
B6700,Adenosine triphosphate (ATP) Determination in Water Sample,USDOI/USGS
9562,Adsorbable Organic Halogens,ISO
990.12,Aerobic Plate Count in Foods,AOAC
1605,Aeromonas in Finished Water Membrane Filtration Using Ampicillin-Dextrin Agar with Vancomycin (ADA-V),USEPA
PMD-AKY(GC1),Alachlor by GC,USEPA
PMD-AKY(GC2),Alachlor by GC,USEPA
1400,Alcohols I by GC/FID,NIOSH
1401,Alcohols II by GC/FID,NIOSH
1402,Alcohols III by GC/FID,NIOSH
1403,Alcohols IV by GC/FID,NIOSH
TO-5,Aldehydes and Ketones in Air,USEPA
1667,Aldehydes by Derivatization and HPLC,USEPA
2539,"Aldehydes, Screening",NIOSH
5502,Aldrin by GC/ECD,NIOSH
B8502,Algal Growth Potential (AGP) Spikes for Nutrient Limitation,USDOI/USGS
7401,Alkaline Dusts by Titration,NIOSH
8221,Alkalinity by Buret Titration,HACH
310.2,Alkalinity by Colorimetric Analysis,USEPA
2320-B,Alkalinity by Gran Titration,APHA
310.1,Alkalinity by Titration,USEPA
D3875,Alkalinity in Water,ASTM
2320,Alkalinity in Water by Titration,APHA
310.1_M,Alkalinity in Water by Titration,USEPA
I1030,Alkalinity in Water by Titration,USDOI/USGS
I2030,Alkalinity in Water by Titration,USDOI/USGS
973.43,Alkalinity of Water,AOAC
C-001-1,Alkalinity of Water by Titration,USEPA
1000,Allyl Chlorine by GC/FID,NIOSH
2545,Allyl Glycidyl Ether by GC/FID,NIOSH
5518,alpha and beta Naphthylamines by GC/FID,NIOSH
9315,Alpha Emitting Radium Isotopes in Water,USEPA
D1943,Alpha Particle Radioactivity of Water,ASTM
D3084,Alpha Spectrometry of Water,ASTM
RA020,Alpha Track Detectors for Alpha Emission,USDOE/ASD
7013,Aluminum and Compounds,NIOSH
920.196,Aluminum and Iron in Water,AOAC
I1054,Aluminum by D-C Plasma Spectrometry,USDOI/USGS
I3054,Aluminum by D-C Plasma Spectrometry,USDOI/USGS
I7054,Aluminum by D-C Plasma Spectrometry,USDOI/USGS
202.1,Aluminum by FLAA,USEPA
202.1_M,Aluminum by FLAA,USEPA
7020,Aluminum by FLAA,USEPA
202.2,Aluminum by GFAA,USEPA
202.2_M,Aluminum by GFAA,USEPA
10215,Aluminum Chromazurol S Method,HACH
I5051,Aluminum in Bottom Material by FLAA,USDOI/USGS
920.198,Aluminum in Water,AOAC
I1052,Aluminum in Water by Chelation and FLAA,USDOI/USGS
I3052,Aluminum in Water by Chelation and FLAA,USDOI/USGS
I7052,Aluminum in Water by Chelation and FLAA,USDOI/USGS
D857(B),Aluminum in Water by Chelation and FLAA (discontinued 1988),ASTM
3500-AL(D),Aluminum in Water by Colorimetry,APHA
D857,Aluminum in Water by FLAA,ASTM
I1051,Aluminum in Water by FLAA,USDOI/USGS
I3051,Aluminum in Water by FLAA,USDOI/USGS
I7051,Aluminum in Water by FLAA,USDOI/USGS
D857(A),Aluminum in Water by FLAA (discontinued 1988),ASTM
D857(C),Aluminum in Water by FLAA (discontinued 1988),ASTM
3500-AL(B),Aluminum in Water by FLAA or GFAA,APHA
3500-AL(C),Aluminum in Water by ICP,APHA
3500-AL(E),Aluminum in Water with an AutoAnalyzer,APHA
D3824(A),Ambient NOx by Chemiluminescence,ASTM
AM-01,Americium in Soil,USDOE/EML
AM-03(A),Americium-241 in Air Filters,USDOE/EML
AM-01,Americium-241 in Ashed Samples,USEPA
AM-02,Americium-241 in Soil,USDOE/EML
AM-03(T),Americium-241 in Tissue,USDOE/EML
AM-03(W),Americium-241 in Water,USDOE/EML
2004,Amides by GC/FID,NIOSH
645,Amine Pesticides and Lethane in Water,USEPA
2010,"Amines, Aliphatic by GC/FID",NIOSH
2002,"Amines, Aromatics by GC/FID",NIOSH
2007,Amioethanol compound I,NIOSH
3509,Amioethanol compound II,NIOSH
PMD-AMT,Amitrole by Visible Spectroscopy,USEPA
6015,Ammonia,NIOSH
NITRO-3,Ammonia - AutoAnalyzer,USDOC/NOAA
NITRO-4,Ammonia - Colorimetric,USDOC/NOAA
NITRO-17,Ammonia in Saline Water,USDOC/NOAA
NITRO-1,Ammonia in Water - AutoAnalyzer,USDOC/NOAA
NITRO-23,Ammonia in Water - Distillation,USDOC/NOAA
4500-NH3(H),Ammonia in Water - Flow Injection Analysis,APHA
NITRO-24,Ammonia in Water - Ion Selective,USDOC/NOAA
NITRO-2,Ammonia in Water - Phenate,USDOC/NOAA
4500-NH3(D),Ammonia in Water by Selective Electrode Method,APHA
4500-NH3(E),Ammonia in Water by Selective Electrode Method (Known Addition),APHA
4500-NH3(C),Ammonia in Water by Titrimetric Method,APHA
4500-NH3(G),Ammonia in Water Using Automated Phenate Method,APHA
4500-NH3(F),Ammonia in Water Using Phenate Method,APHA
350.1,Ammonia Nitrogen by Colorimetry,USEPA
350.2(B),Ammonia Nitrogen by Colorimetry,USEPA
I6522,Ammonia Nitrogen by Colorimetry in Solid,USDOI/USGS
I6523,Ammonia Nitrogen by Colorimetry in Solid,USDOI/USGS
I1520,Ammonia Nitrogen by Nesslerization,USDOI/USGS
350.2(C),Ammonia Nitrogen by Titration,USEPA
350_M(C),Ammonia Nitrogen in Water,USEPA
8038,Ammonia Nitrogen in Water,HACH
350_M(A),Ammonia Nitrogen in Water by Colorimetry,USEPA
I2521,Ammonia Nitrogen in Water by Colorimetry,USDOI/USGS
I2522,Ammonia Nitrogen in Water by Colorimetry,USDOI/USGS
I2523,Ammonia Nitrogen in Water by Colorimetry,USDOI/USGS
I4521,Ammonia Nitrogen in Water by Colorimetry,USDOI/USGS
I4522,Ammonia Nitrogen in Water by Colorimetry,USDOI/USGS
I4523,Ammonia Nitrogen in Water by Colorimetry,USDOI/USGS
D1426(B),Ammonia Nitrogen in Water by Ion Electrode,ASTM
D1426(A),Ammonia Nitrogen in Water by NESSLR,ASTM
350_M(B),Ammonia Nitrogen in Water by Titration,USEPA
I1524,Ammonia Nitrogen in Water Using an ISE,USDOI/USGS
I3524,Ammonia Nitrogen in Water Using an ISE,USDOI/USGS
350.2(A),Ammonia Nitrogen Using an ISE,USEPA
350.3,Ammonia Nitrogen Using an ISE,USEPA
NITRO-18,Ammonia Plus Amino Acids,USDOC/NOAA
I5553,Ammonia plus Organic Nitrogen in Solids,USDOI/USGS
I6552,Ammonia Plus Organic Nitrogen in Solids,USDOI/USGS
I1550,Ammonia plus Organic Nitrogen in Water,USDOI/USGS
I2552,Ammonia plus Organic Nitrogen in Water,USDOI/USGS
I2558,Ammonia plus Organic Nitrogen in Water,USDOI/USGS
I4552,Ammonia Plus Organic Nitrogen in Water,USDOI/USGS
I7552,Ammonia Plus Organic Nitrogen in Water,USDOI/USGS
10205,Ammonia Salicylate Method,HACH
NH3-01,Ammonium in Water,USDOE/EML
7501,Amorphous silica by X-Ray Diffraction,NIOSH
PMD-AM-S,AMS by Sodium Nitrate Titration,USEPA
0011A,Analysis of Aldehydes/Ketones by HPLC,USEPA
PAH-009,Analysis of PAHs by GC/FID and GC/PID,USEPA
PAH-011,Analysis of PAHs in Soil by GC/FID,USEPA
PAH-012,Analysis of PAHs in Soil by HPLC,USEPA
5041,Analysis of Sorbent Cartridges,USEPA
5040A,Analysis of VOST Sorbent Cartridges,USEPA
HERL_023,Analysis of Water for Herbicides,USEPA
HERL_022,Analysis of Water for Pesticides,USEPA
100.1,Analytical Method For Determination Of Asbestos Fibers In Water,USEPA
PMD-ANF(GC),Anilazine by GC,USEPA
PMD-ANF(IR),Anilazine by IR Spectroscopy,USEPA
8131,Aniline by GC: Capillary Column,USEPA
9056,Anion Chromatography Method,USEPA
1030-E,Anion-Cation Balance,APHA_SM20ED
5540-C,Anionic Surfactants in Water as MBAS,APHA
ANION-01,Anions - Ion Chromatography,USDOE/EML
C-003-1,Anions by Ion Chromatography,USEPA
4110-B,Anions in Water by Ion Chromatography,APHA
D4327,Anions in Water by Ion Chromatography,ASTM
I2057,Anions in Water by Ion Chromatography,USDOI/USGS
I2058,Anions in Water by Ion Chromatography,USDOI/USGS
2514,Anisidine,NIOSH
7062,Antimony and Arsenic by GBAA,USEPA
204.1,Antimony by FLAA,USEPA
204.1_M,Antimony by FLAA,USEPA
7040,Antimony by FLAA,USEPA
204.2,Antimony by GFAA,USEPA
204.2_M,Antimony by GFAA,USEPA
7041,Antimony by GFAA,USEPA
I5055,Antimony in Bottom Material by HYDAA,USDOI/USGS
3500-SB(C),Antimony in Water - ICP,APHA
D3697,Antimony in Water by FLAA,ASTM
3500-SB(B),Antimony in Water by FLAA or GFAA,APHA
I1055,Antimony in Water by Hydride AA,USDOI/USGS
I3055,Antimony in Water by Hydride AA,USDOI/USGS
I7055,Antimony in Water by Hydride AA,USDOI/USGS
PMD-ANT,Antimycin A by UV Spectroscopy,USEPA
PMD-ANY,ANTU by UV Spectroscopy,USEPA
D4455,Aquatic Bacteria by Epifluorescence,ASTM
5510-B,Aquatic Humic Substances in Water,APHA
5510-C,Aquatic Humic Substances in Water,APHA
B6020,Aquatic Vertebrates- Life History (quantitative method),USDOI/USGS
8021B,Aromatic and Halogenated Volatiles by Gas Chromatography,USEPA
1501,Aromatic Hydrocarbons by GC/FID,NIOSH
8020A,Aromatic Volatile Organics by GC,USEPA
PMD-AS(ATE),Arsenate by Titration,USEPA
7900,Arsenic,NIOSH
SFSAS_15,Arsenic and Selenium in Sediment,USEPA
7063,Arsenic by ASV,USEPA
7061A,Arsenic by Gaseous Hydride AA,USEPA
206.2,Arsenic by GFAA,USEPA
206.2_M,Arsenic by GFAA,USEPA
7060A,Arsenic by GFAA,USEPA
206.3,Arsenic by HYDAA,USEPA
206.4,Arsenic by Spectrophotometric Analysis,USEPA
206.5,Arsenic Digestion for HYDAA,USEPA
I5060,Arsenic in Bottom Material by Colorimetry,USDOI/USGS
I5062,Arsenic in Bottom Material by HYDAA,USDOI/USGS
I6062,Arsenic in Bottom Material by HYDAA,USDOI/USGS
PMD-AS(TIT5),Arsenic in Organic Compounds by Titration,USEPA
8013,Arsenic in Water,HACH
920.205,Arsenic in Water,AOAC
I1060,Arsenic in Water by Colorimetry,USDOI/USGS
I3060,Arsenic in Water by Colorimetry,USDOI/USGS
I7060,Arsenic in Water by Colorimetry,USDOI/USGS
D2972(C),Arsenic in Water by GFAA,ASTM
3500-AS(B),Arsenic in Water by GFAA or HYDAA,APHA
I1062,Arsenic in Water by HYDAA,USDOI/USGS
I2062,Arsenic in Water by HYDAA,USDOI/USGS
I3062,Arsenic in Water by HYDAA,USDOI/USGS
I4062,Arsenic in Water by HYDAA,USDOI/USGS
I7062,Arsenic in Water by HYDAA,USDOI/USGS
3500-AS(D),Arsenic in Water by ICP,APHA
3500-AS(C),Arsenic in Water by Spectrophotometry,APHA
D2972(B),Arsenic in Water Using HYDAA,ASTM
D2972(A),Arsenic in Water Using Spectrophotometry,ASTM
7901,Arsenic Trioxide,NIOSH
5022,"Arsenic, organo-",NIOSH
6001,Arsine,NIOSH
9002,Asbestos by KLP,NIOSH
7400,Asbestos by PCM,NIOSH
7402,Asbestos by TEM,NIOSH
D4240,Asbestos in Atmosphere,ASTM
2570-B,Asbestos in Water by TEM,APHA
9000,"Asbestos, Chrysotile by XRD",NIOSH
5031,Aspartamine by HPLC/UV,NIOSH
9510-G,Assay and Identification of Viruses in Sample Concentrates,APHA
PMD-ASU,Asulam by UV Spectroscopy,USEPA
7000A(FLAA),Atomic Absorption - FLAA,USEPA
7000A(GFAA),Atomic Absorption - GFAA,USEPA
D4012,ATP Content of Microorganisms in Water,ASTM
PMD-ATR(GC2),Atrazine and Metolachlor by GC,USEPA
PMD-FLM,Atrazine and Metolachlor by GC,USEPA
PMD-ATR,Atrazine and Metolachlor by GC/FID,USEPA
PMD-ATR(GC1),Atrazine by GC,USEPA
PMD-ATR(LC),Atrazine by HPLC,USEPA
PMD-ATR(IR),Atrazine by IR Spectroscopy,USEPA
OIA-1677,"Available Cyanide by Flow Injection, Ligand Exchange, and Amperometry",USEPA
5019,Azelaic Acid by GC/FID,NIOSH
PMD-AZN,Azinphos-Methyl by IR Spectroscopy,USEPA
IP-7-B,B(a)P and PAHs in Air by HPLC,USEPA
IP-7-A,B(a)P in Air by GC/FID and GC/MS,USEPA
980.31,Bacillus cereus in Foods,AOAC
986.33,Bacterial and Coliform Counts in Milk,AOAC
989.1,Bacterial and Coliforms in Dairy Products,AOAC
F488,Bacterial Count in Water,ASTM
993.11,Bacterial Counts in Raw/Pasteurized Milk,AOAC
208.1,Barium by FLAA,USEPA
208.1_M,Barium by FLAA,USEPA
7080A,Barium by FLAA,USEPA
208.2,Barium by GFAA,USEPA
208.2_M,Barium by GFAA,USEPA
7081,Barium by GFAA,USEPA
I5084,Barium in Bottom Material by FLAA,USDOI/USGS
920.201,Barium in Water,AOAC
D3986,Barium in Water by DCAPS,ASTM
D3651,Barium in Water by FLAA,ASTM
I1084,Barium in Water by FLAA,USDOI/USGS
I3084,Barium in Water by FLAA,USDOI/USGS
I7084,Barium in Water by FLAA,USDOI/USGS
3500-BA(B),Barium in Water by FLAA or GFAA,APHA
D4382,Barium in Water by GFAA,ASTM
3500-BA(C),Barium in Water by ICP,APHA
7056,"Barium, soluble compounds",NIOSH
625,Base/Neutral and Acid Organics in Wastewater,USEPA
O3118,Base/Neutral Extractable Compounds,USDOI/USGS
PMD-BDX,Benalaxyl by GC,USEPA
PMD-BEB(LC),Bendiocarb by HPLC,USEPA
PMD-BEB(IR),Bendiocarb by IR Spectroscopy,USEPA
PMD-BEB(UV),Bendiocarb by UV Spectroscopy,USEPA
PMD-BEE(GC),Benefin by GC,USEPA
PMD-BEE(IR),Benefin by IR Spectroscopy,USEPA
631,Benomyl and Carbendazim in Wastewater,USEPA
PMD-BEH(IR),Benomyl by IR Spectroscopy,USEPA
PMD-BEH(UV),Benomyl by UV Spectroscopy,USEPA
PMD-BEL(LC),Bensulide by HPLC,USEPA
PMD-BEL(IR),Bensulide by IR Spectroscopy,USEPA
636,Bensulide in Wastewater by HPLC/UV,USEPA
PMD-BEN(LC),Bentazon by HPLC,USEPA
PMD-BEN(UV),Bentazon by UV Spectroscopy,USEPA
B5050,Benthic Invertebrate Drift Determination,USDOI/USGS
B5040,Benthic Invertebrates- Distribution and Abundance (quantitative m,USDOI/USGS
B5001,Benthic Invertebrates- Faunal Survey (qualitative method),USDOI/USGS
B5020,Benthic Invertebrates- Numerical Assessment,USDOI/USGS
10500-C,Benthic Macroinvertebrate Sample Processing and Analysis,APHA
3700,Benzene by portable GC,NIOSH
8306,Benzidine in Urine by GC/ECD,NIOSH
553(LLE),Benzidines and Pesticides in Water,USEPA
553(LSE),Benzidines and Pesticides in Water,USEPA
605,Benzidines in Wastewater by HPLC,USEPA
TO-13,Benzo(a)Pyrene and PAHs - Ambient Air,USEPA
5009,Benzoyl Peroxide by HPLC/UV,NIOSH
7102,Beryllium and compounds,NIOSH
210.1,Beryllium by FLAA,USEPA
210.1_M,Beryllium by FLAA,USEPA
7090,Beryllium by FLAA,USEPA
210.2,Beryllium by GFAA,USEPA
210.2_M,Beryllium by GFAA,USEPA
7091,Beryllium by GFAA,USEPA
104,Beryllium in Air,USEPA
I5095,Beryllium in Bottom Material by FLAA,USDOI/USGS
D3645(A),Beryllium in Water by FLAA,ASTM
I1095,Beryllium in Water by FLAA,USDOI/USGS
I3095,Beryllium in Water by FLAA,USDOI/USGS
I7095,Beryllium in Water by FLAA,USDOI/USGS
3500-BE(B),Beryllium in Water by FLAA or GFAA,APHA
D3645(B),Beryllium in Water by GFAA,ASTM
3500-BE(C),Beryllium in Water by ICP,APHA
3500-BE(D),Beryllium in Water by Spectrophotometry,APHA
103,Beryllium Screening in Air,USEPA
1,Beta Activity in Airborne Particulates,USEPA
D1890,Beta Particle Radioactivity of Water,ASTM
1002,beta-Chloroprene by GC/FID,NIOSH
PMD-BIN,Binapacryl by IR Spectroscopy,USEPA
973.44,Biochemical Oxygen Demand of Water,AOAC
304B,Biodegredation Rates (Scrubber Option),USEPA
304A,Biodegredation Rates (Vent Option),USEPA
8043,Biological Oxygen Demand in Water,HACH
B6560,Biomass/Chlorophyll Ratio for Phytoplankton,USDOI/USGS
B6660,Biomass/Chlorophyll Ratio in Periphyton,USDOI/USGS
642,Biphenyl and Ortho Phenylphenol in Water,USEPA
968.25,Biphenyl Pesticide Residues in Citrus,AOAC
8430,Bis(2-Chloroethyl)Ether Products by GC/FTIR,USEPA
HERL_007,Bis(p-Chlorophenyl) Acetic Acid in Urine,USEPA
PMD-TQO,bis(Tri-n-butyltin) Oxide by GC,USEPA
3500-BI,Bismuth in Water by FLAA,APHA
PMD-BIL,Bitertanol by GC,USEPA
212.3,Boron by Colorimetric Analysis,USEPA
7506,Boron Carbide,NIOSH
PMD-BOR,Boron Compounds by Ignition and Titration,USEPA
I5110,Boron in Bottom Material by Colorimetry,USDOI/USGS
I2115,Boron in Water by Automated Colorimetry,USDOI/USGS
I1110,Boron in Water by Colorimetry,USDOI/USGS
I1112,Boron in Water by Colorimetry,USDOI/USGS
I3110,Boron in Water by Colorimetry,USDOI/USGS
I3112,Boron in Water by Colorimetry,USDOI/USGS
I7110,Boron in Water by Colorimetry,USDOI/USGS
I7112,Boron in Water by Colorimetry,USDOI/USGS
I1114,Boron in Water by DC Plasma Spectrometry,USDOI/USGS
4500-B-D,Boron in Water by ICP,APHA
4500-B-C,Boron in Water by Spectrophotometry- Carmine Method,APHA
4500-B-B,Boron in Water by Spectrophotometry- Curcumin Method,APHA
D3082,Boron in Water Using Spectrometry,ASTM
PMD-BRO,Bromacil by GC,USEPA
PMD-BRA,Bromadiolone by HPLC,USEPA
920.204,Bromide and Iodide in Water,AOAC
320.1,Bromide by Titration with Iodine,USEPA
D3869(D),Bromide in Saline Water by Colorimetry,ASTM
I2129,Bromide in Water by Colorimetry,USDOI/USGS
4500-BR(C),Bromide in Water by Ion Chromatography,APHA
I2128,Bromide in Water by Ion Chromatography,USDOI/USGS
9211,Bromide in Water by ISE,USEPA
4500-BR(B),Bromide in Water by Spectrophotometry,APHA
I1125,Bromide in Water by Titration,USDOI/USGS
D1246,Bromide Ion in Water,ASTM
5010,Bromoxynil and Bromoxynil Octanoate,NIOSH
1661,Bromoxynil in Wastewater by HPLC/UV,USEPA
PMD-BYA(GC1),Butylate by GC,USEPA
PMD-BYA(GC2),Butylate by GC,USEPA
PMD-BYA(LC1),Butylate by HPLC,USEPA
PMD-BYA(LC2),Butylate by HPLC,USEPA
616,"C, H, O Containing Pesticides in Water",USEPA
D2820,C1 - C5 Hydrocarbons by GC,ASTM
D5086,"Ca, Mg, K and Na in Atmospheric Wet Dep.",ASTM
200.6,"Ca, Mg, K and Na in Wet Deposition",IL/SWSD
M-01,Cadmium and Lead by GFAA,USDOE/EML
PMD-CD,Cadmium by AAS,USEPA
7048,Cadmium by Atomic Absorption,NIOSH
213.1,Cadmium by FLAA,USEPA
213.1_M,Cadmium by FLAA,USEPA
7130,Cadmium by FLAA,USEPA
213.2,Cadmium by GFAA,USEPA
213.2_M,Cadmium by GFAA,USEPA
7131A,Cadmium by GFAA,USEPA
I5135,Cadmium in Bottom Material by FLAA,USDOI/USGS
D3557(B),Cadmium in Water by Chelation and FLAA,ASTM
I1136,Cadmium in Water by Chelation and FLAA,USDOI/USGS
I3136,Cadmium in Water by Chelation and FLAA,USDOI/USGS
I7136,Cadmium in Water by Chelation and FLAA,USDOI/USGS
D3557(A),Cadmium in Water by FLAA,ASTM
I1135,Cadmium in Water by FLAA,USDOI/USGS
I3135,Cadmium in Water by FLAA,USDOI/USGS
I7135,Cadmium in Water by FLAA,USDOI/USGS
3500-CD(B),Cadmium in Water by FLAA/GFAA,APHA
D3557(D),Cadmium in Water by GFAA,ASTM
I1137,Cadmium in Water by GFAA,USDOI/USGS
3500-CD(C),Cadmium in Water by ICP,APHA
D3557(C),Cadmium in Water by Polarography,ASTM
3500-CD(D),Cadmium in Water by Spectrophotometry,APHA
10217,"Cadmium, Cadion Method",HACH
CA-01,Calcium - AA Spectrometry,USDOE/EML
CA-02,Calcium - Titration,USDOE/EML
D511(B),Calcium and Magnesium in Water by FLAA,ASTM
D511(A),Calcium and Magnesium in Water by Titration,ASTM
7020,Calcium by Atomic Absorption,NIOSH
215.2,Calcium by EDTA Titrimetric Analysis,USEPA
215.1,Calcium by FLAA,USEPA
215.1_M,Calcium by FLAA,USEPA
7140,Calcium by FLAA,USEPA
8222,Calcium Hardness in Water,HACH
I5152,Calcium in Bottom Material by FLAA,USDOI/USGS
920.199,Calcium in Water,AOAC
3500-CA(B),Calcium in Water by FLAA,APHA
I1152,Calcium in Water by FLAA,USDOI/USGS
I3152,Calcium in Water by FLAA,USDOI/USGS
I3153,Calcium in Water by FLAA,USDOI/USGS
I7152,Calcium in Water by FLAA,USDOI/USGS
3500-CA(C),Calcium in Water by ICP,APHA
3500-CA(D),Calcium in Water by Titration Using EDTA,APHA
PMD-CAO,Captafol by IR Spectroscopy,USEPA
PMD-CAP(GC1),Captan by GC,USEPA
PMD-CAP(LC),Captan by HPLC,USEPA
PMD-CAP(IR),Captan by IR Spectroscopy,USEPA
957.14,Captan Pesticide Residues,AOAC
PMD-CAP(GC2),"Captan, Carbaryl and Naled by GC",USEPA
621,Carbamate Pesticides - TLC,USEPA
632,Carbamate Pesticides by HPLC/UV,USEPA
632.1,Carbamate Pesticides by HPLC/UV,USEPA
O3107,Carbamate Pesticides in Water,USDOI/USGS
6610-B,Carbamate Pesticides in Water by HPLC,APHA
D5315,Carbamate Pesticides in Water by HPLC,ASTM
PMD-CAV(LC),Carbaryl by HPLC,USEPA
PMD-CAV(UV),Carbaryl by UV Spectroscopy,USEPA
5006,Carbaryl by Visible Absorption Spec.,NIOSH
964.18,Carbaryl Pesticide Residue - Colorimetric,AOAC
968.26,Carbaryl Pesticide Residue - Qualitative,AOAC
PMD-CBF,Carbofuran by IR Spectroscopy,USEPA
5000,Carbon Black by Gravimetric Technique,NIOSH
D5173,Carbon Compounds in Water,ASTM
6603,Carbon Dioxide by GC/TCD,NIOSH
4500-CO2(B),Carbon Dioxide in Water by Nomography,APHA
4500-CO2(C),Carbon Dioxide in Water by Titration,APHA
1600,Carbon Disulfide by GC/FPD,NIOSH
10,Carbon Monoxide Emissions in Air,USEPA
10A,Carbon Monoxide Emissions in Air,USEPA
10B,Carbon Monoxide Emissions in Air,USEPA
IP-3C,Carbon Monoxide in Air - ECO,USEPA
IP-3B,Carbon Monoxide in Air - GFC,USEPA
IP-3A,Carbon Monoxide in Air - NDIR,USEPA
D3416,Carbon Monoxide in Atmosphere - GC/FID,ASTM
50APP-C,Carbon Monoxide in Atmosphere - NDIR,USEPA
D3162,Carbon Monoxide in Atmosphere - NDIR,ASTM
2.6,Carbon Monoxide in the Atmosphere,USEPA
C-01,Carbon-14 in Aqueous Samples,USEPA
920.194,Carbonate and Bicarbonate in Water,AOAC
8315,Carbonyl Compounds by HPLC,USEPA
8315A(LLE),Carbonyl Compounds by HPLC,USEPA
8315A(LSE),Carbonyl Compounds by HPLC,USEPA
554,Carbonyl Compounds in Water by HPLC,USEPA
PMD-CBX(IR),Carboxin by IR Spectroscopy,USEPA
PMD-CBX(UV),Carboxin by UV Spectroscopy,USEPA
9080,Cation-Exchange Capacity of Soils,USEPA
9081,Cation-Exchange Capacity of Soils,USEPA
974.27,"Cd, Cr, Cu, Fe, Pb, Mg, Mn, Ag, Zn in Water",AOAC
3500-CS,Cesium in Water by FLAA,APHA
R1110,"Cesium-137 and 134, Dissolved",USDOI/USGS
D3686,Charcoal Tube Adsorption of Organic Vapors,ASTM
OM510R,Chelators in Mixed Hazardous Waste by GC/MS,USDOE/ASD
8000,Chemical Oxygen Demand,HACH
8000(A1),Chemical Oxygen Demand,HACH
8000(A2),Chemical Oxygen Demand,HACH
410.4,Chemical Oxygen Demand by Colorimetry,USEPA
410_M(A),Chemical Oxygen Demand by Colorimetry,USEPA
I3561,Chemical Oxygen Demand by Colorimetry,USDOI/USGS
5220-D,Chemical Oxygen Demand by Colorimetry- Closed Reflux,APHA
410_M(B),Chemical Oxygen Demand by Titration,USEPA
